index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand,service_time
0,40,50,0,0,1236,50,0
1,45,68,10,885,994,50,90
2,45,70,30,802,893,50,90
3,42,66,10,25,186,50,90
4,42,68,10,699,810,50,90
5,42,65,10,15,120,50,90
6,40,69,20,580,743,50,90
7,40,66,20,142,253,50,90
8,38,68,20,220,359,50,90
9,38,70,10,499,640,50,90
10,35,66,10,331,436,50,90
11,35,69,10,420,533,50,90
12,25,85,20,617,756,50,90
13,22,75,30,30,155,50,90
14,22,85,10,541,646,50,90
15,20,80,40,362,451,50,90
16,20,85,40,448,555,50,90
17,18,75,20,75,172,50,90
18,15,75,20,142,291,50,90
19,15,80,10,244,379,50,90
20,30,50,10,10,137,50,90
21,30,52,20,888,991,50,90
22,28,52,20,776,919,50,90
23,28,55,10,709,800,50,90
24,25,50,10,25,184,50,90
25,25,52,40,142,251,50,90
26,25,55,10,582,741,50,90
27,23,52,10,234,343,50,90
28,23,55,20,523,616,50,90
29,20,50,10,335,428,50,90
30,20,55,10,422,531,50,90
31,10,35,20,181,256,50,90
32,10,40,30,31,170,50,90
33,8,40,40,52,193,50,90
34,8,45,20,719,848,50,90
35,5,35,10,252,375,50,90
36,5,45,10,639,742,50,90
37,2,40,20,357,460,50,90
38,0,40,30,457,544,50,90
39,0,45,20,538,653,50,90
40,35,30,10,236,349,50,90
41,35,32,10,132,269,50,90
42,33,32,20,27,190,50,90
43,33,35,10,16,144,50,90
44,32,30,10,332,439,50,90
45,30,30,10,512,629,50,90
46,30,32,30,417,540,50,90
47,30,35,10,982,1127,50,90
48,28,30,10,601,724,50,90
49,28,35,10,969,1098,50,90
50,26,32,10,783,912,50,90
51,25,30,10,695,816,50,90
52,25,35,10,883,998,50,90
53,44,5,20,255,378,50,90
54,42,10,40,150,293,50,90
55,42,15,10,63,190,50,90
56,40,5,30,359,462,50,90
57,40,15,40,35,140,50,90
58,38,5,30,439,566,50,90
59,38,15,10,607,784,50,90
60,35,5,20,529,662,50,90
61,50,30,10,491,650,50,90
62,50,35,20,235,344,50,90
63,50,40,50,147,242,50,90
64,48,30,10,601,724,50,90
65,48,40,10,50,155,50,90
66,47,35,10,802,899,50,90
67,47,40,10,12,143,50,90
68,45,30,10,712,799,50,90
69,45,35,10,889,996,50,90
70,95,30,30,353,490,50,90
71,95,35,20,260,393,50,90
72,53,30,10,422,533,50,90
73,92,30,10,442,587,50,90
74,53,35,50,323,442,50,90
75,45,65,20,962,1103,50,90
76,90,35,10,175,288,50,90
77,88,30,10,539,678,50,90
78,88,35,20,78,201,50,90
79,87,30,10,636,763,50,90
80,85,25,10,744,845,50,90
81,85,35,30,47,201,50,90
82,75,55,20,344,445,50,90
83,72,55,10,228,375,50,90
84,70,58,20,425,556,50,90
85,68,60,30,527,640,50,90
86,66,55,10,141,270,50,90
87,65,55,20,56,173,50,90
88,65,60,30,614,739,50,90
89,63,58,10,705,834,50,90
90,60,55,10,20,148,50,90
91,60,60,10,809,916,50,90
92,67,85,20,331,478,50,90
93,65,85,40,453,540,50,90
94,65,82,10,260,361,50,90
95,62,80,30,174,261,50,90
96,60,80,10,64,187,50,90
97,60,85,30,531,652,50,90
98,58,75,20,30,139,50,90
99,55,80,10,705,858,50,90
100,55,85,20,608,765,50,90
