index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,230,41
1,41,49,10,0,204,41
2,35,17,7,0,202,41
3,55,45,13,0,197,41
4,55,20,19,149,159,41
5,15,30,26,0,199,41
6,25,30,3,99,109,41
7,20,50,5,0,198,41
8,10,43,9,95,105,41
9,55,60,16,97,107,41
10,30,60,16,124,134,41
11,20,65,12,67,77,41
12,50,35,19,0,205,41
13,30,25,23,159,169,41
14,15,10,20,0,187,41
15,30,5,8,61,71,41
16,10,20,19,0,190,41
17,5,30,2,157,167,41
18,20,40,12,0,204,41
19,15,60,17,0,187,41
20,45,65,9,0,188,41
21,45,20,11,0,201,41
22,45,10,18,97,107,41
23,55,5,29,68,78,41
24,65,35,3,0,190,41
25,65,20,6,172,182,41
26,45,30,17,0,208,41
27,35,40,16,37,47,41
28,41,37,16,0,213,41
29,64,42,9,0,190,41
30,40,60,21,71,81,41
31,31,52,27,0,202,41
32,35,69,23,0,186,41
33,53,52,11,37,47,41
34,65,55,14,0,183,41
35,63,65,8,143,153,41
36,2,60,5,41,51,41
37,20,20,8,0,198,41
38,5,5,16,83,93,41
39,60,12,31,44,54,41
40,40,25,9,85,95,41
41,42,7,5,97,107,41
42,24,12,5,31,41,41
43,23,3,7,0,185,41
44,11,14,18,69,79,41
45,6,38,16,32,42,41
46,2,48,1,0,184,41
47,8,56,27,0,185,41
48,13,52,36,0,192,41
49,6,68,30,108,118,41
50,47,47,13,0,203,41
51,49,58,10,0,193,41
52,27,43,9,0,208,41
53,37,31,14,95,105,41
54,57,29,18,0,197,41
55,63,23,2,136,146,41
56,53,12,6,130,140,41
57,32,12,7,0,196,41
58,36,26,18,200,210,41
59,21,24,28,0,202,41
60,17,34,3,0,201,41
61,12,24,13,0,194,41
62,24,58,19,58,68,41
63,27,69,10,0,185,41
64,15,77,9,73,83,41
65,62,77,20,51,61,41
66,49,73,25,127,137,41
67,67,5,25,83,93,41
68,56,39,36,142,152,41
69,37,47,6,50,60,41
70,37,56,5,182,192,41
71,57,68,15,0,180,41
72,47,16,25,0,197,41
73,44,17,9,0,199,41
74,46,13,8,149,159,41
75,49,11,18,0,192,41
76,49,42,13,73,83,41
77,53,43,14,179,189,41
78,61,52,3,96,106,41
79,57,48,23,92,102,41
80,56,37,6,182,192,41
81,55,54,26,0,192,41
82,15,47,16,0,196,41
83,14,37,11,0,198,41
84,11,31,7,101,111,41
85,16,22,41,0,196,41
86,4,18,35,0,184,41
87,28,18,26,93,103,41
88,26,52,9,74,84,41
89,26,35,15,0,211,41
90,31,67,3,0,187,41
91,15,19,1,0,194,41
92,22,22,2,18,28,41
93,18,24,22,188,198,41
94,26,27,27,0,207,41
95,25,24,20,0,205,41
96,22,27,11,0,204,41
97,25,21,12,0,202,41
98,19,21,10,0,198,41
99,20,26,9,83,93,41
100,18,18,17,185,195,41
