index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand,service_time
0,40,50,0,0,960,40,0
1,25,85,20,673,793,40,10
2,22,75,30,152,272,40,10
3,22,85,10,471,591,40,10
4,20,80,40,644,764,40,10
5,20,85,20,73,193,40,10
6,18,75,20,388,508,40,10
7,15,75,20,300,420,40,10
8,15,80,10,367,487,40,10
9,10,35,20,371,491,40,10
10,10,40,30,519,639,40,10
11,8,40,40,195,315,40,10
12,8,45,20,223,343,40,10
13,5,35,10,653,773,40,10
14,5,45,10,35,155,40,10
15,2,40,20,174,294,40,10
16,0,40,20,255,375,40,10
17,0,45,20,703,823,40,10
18,44,5,20,335,455,40,10
19,42,10,40,254,374,40,10
20,42,15,10,537,657,40,10
21,40,5,10,215,335,40,10
22,40,15,40,375,495,40,10
23,38,5,30,201,321,40,10
24,38,15,10,681,801,40,10
25,35,5,20,784,904,40,10
26,95,30,30,529,649,40,10
27,95,35,20,146,266,40,10
28,92,30,10,149,269,40,10
29,90,35,10,194,314,40,10
30,88,30,10,246,366,40,10
31,88,35,20,165,285,40,10
32,87,30,10,621,741,40,10
33,85,25,10,80,200,40,10
34,85,35,30,487,607,40,10
35,67,85,20,657,777,40,10
36,65,85,40,43,163,40,10
37,65,82,10,557,677,40,10
38,62,80,30,278,398,40,10
39,60,80,10,64,184,40,10
40,60,85,30,329,449,40,10
41,58,75,20,376,496,40,10
42,55,80,10,33,153,40,10
43,55,85,20,574,694,40,10
44,55,82,10,217,337,40,10
45,20,82,10,37,157,40,10
46,18,80,10,489,609,40,10
47,2,45,10,105,225,40,10
48,42,5,10,732,852,40,10
49,42,12,10,440,560,40,10
50,72,35,30,507,627,40,10
51,55,20,19,326,446,40,10
52,25,30,3,175,295,40,10
53,20,50,5,375,495,40,10
54,55,60,16,601,721,40,10
55,30,60,16,599,719,40,10
56,50,35,19,557,677,40,10
57,30,25,23,397,517,40,10
58,15,10,20,782,902,40,10
59,10,20,19,42,162,40,10
60,15,60,17,694,814,40,10
61,45,65,9,258,378,40,10
62,65,35,3,167,287,40,10
63,65,20,6,39,159,40,10
64,45,30,17,191,311,40,10
65,35,40,16,11,131,40,10
66,41,37,16,566,686,40,10
67,64,42,9,268,388,40,10
68,40,60,21,612,732,40,10
69,31,52,27,157,277,40,10
70,35,69,23,810,930,40,10
71,65,55,14,241,361,40,10
72,63,65,8,60,180,40,10
73,2,60,5,286,406,40,10
74,20,20,8,645,765,40,10
75,5,5,16,232,352,40,10
76,60,12,31,268,388,40,10
77,23,3,7,764,884,40,10
78,8,56,27,365,485,40,10
79,6,68,30,352,472,40,10
80,47,47,13,822,942,40,10
81,49,58,10,355,475,40,10
82,27,43,9,152,272,40,10
83,37,31,14,105,225,40,10
84,57,29,18,395,515,40,10
85,63,23,2,344,464,40,10
86,21,24,28,349,469,40,10
87,12,24,13,359,479,40,10
88,24,58,19,260,380,40,10
89,67,5,25,713,833,40,10
90,37,47,6,359,479,40,10
91,49,42,13,719,839,40,10
92,53,43,14,14,134,40,10
93,61,52,3,808,928,40,10
94,57,48,23,392,512,40,10
95,56,37,6,100,220,40,10
96,55,54,26,562,682,40,10
97,4,18,35,547,667,40,10
98,26,52,9,172,292,40,10
99,26,35,15,308,428,40,10
100,31,67,3,810,930,40,10
