index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,40,50,0,0,960,40
1,25,85,20,431,911,40
2,22,75,30,30,510,40
3,22,85,10,291,771,40
4,20,80,40,674,734,40
5,20,85,20,40,520,40
6,18,75,20,393,502,40
7,15,75,20,120,600,40
8,15,80,10,397,457,40
9,10,35,20,401,461,40
10,10,40,30,535,622,40
11,8,40,40,225,285,40
12,8,45,20,43,523,40
13,5,35,10,683,743,40
14,5,45,10,35,366,40
15,2,40,20,204,264,40
16,0,40,20,204,425,40
17,0,45,20,698,827,40
18,44,5,20,306,483,40
19,42,10,40,199,428,40
20,42,15,10,494,699,40
21,40,5,10,45,525,40
22,40,15,40,383,486,40
23,38,5,30,231,291,40
24,38,15,10,609,872,40
25,35,5,20,821,881,40
26,95,30,30,349,829,40
27,95,35,20,138,273,40
28,92,30,10,78,339,40
29,90,35,10,132,375,40
30,88,30,10,252,359,40
31,88,35,20,50,530,40
32,87,30,10,562,799,40
33,85,25,10,71,208,40
34,85,35,30,307,787,40
35,67,85,20,655,778,40
36,65,85,40,43,186,40
37,65,82,10,377,857,40
38,62,80,30,308,368,40
39,60,80,10,46,201,40
40,60,85,30,339,438,40
41,58,75,20,377,494,40
42,55,80,10,33,166,40
43,55,85,20,531,736,40
44,55,82,10,247,307,40
45,20,82,10,37,177,40
46,18,80,10,432,665,40
47,2,45,10,38,322,40
48,42,5,10,424,904,40
49,42,12,10,460,539,40
50,72,35,30,327,807,40
51,55,20,19,273,498,40
52,25,30,3,25,505,40
53,20,50,5,405,465,40
54,55,60,16,554,767,40
55,30,60,16,629,689,40
56,50,35,19,560,673,40
57,30,25,23,342,571,40
58,15,10,20,842,902,40
59,10,20,19,42,522,40
60,15,60,17,623,884,40
61,45,65,9,214,421,40
62,65,35,3,197,257,40
63,65,20,6,39,316,40
64,45,30,17,191,310,40
65,35,40,16,11,140,40
66,41,37,16,570,681,40
67,64,42,9,298,358,40
68,40,60,21,613,730,40
69,31,52,27,187,247,40
70,35,69,23,780,930,40
71,65,55,14,191,410,40
72,63,65,8,27,507,40
73,2,60,5,240,451,40
74,20,20,8,675,735,40
75,5,5,16,57,537,40
76,60,12,31,298,358,40
77,23,3,7,794,854,40
78,8,56,27,366,483,40
79,6,68,30,382,442,40
80,47,47,13,817,942,40
81,49,58,10,332,497,40
82,27,43,9,14,494,40
83,37,31,14,19,499,40
84,57,29,18,425,485,40
85,63,23,2,164,644,40
86,21,24,28,310,507,40
87,12,24,13,389,449,40
88,24,58,19,262,377,40
89,67,5,25,611,897,40
90,37,47,6,311,526,40
91,49,42,13,457,937,40
92,53,43,14,14,74,40
93,61,52,3,789,928,40
94,57,48,23,212,692,40
95,56,37,6,20,500,40
96,55,54,26,382,862,40
97,4,18,35,516,697,40
98,26,52,9,14,494,40
99,26,35,15,338,398,40
100,31,67,3,870,930,40
